"","Year","Month","co2","Temperature","Date"
"162",1987,11,348.084,0.91,1987-11-01
"163",1987,12,349.2725,0.72,1987-12-01
"164",1988,1,350.678,0.62,1988-01-01
"165",1988,2,351.925,0.66,1988-02-01
"166",1988,3,352.285,0.68,1988-03-01
"167",1988,4,353.7275,0.51,1988-04-01
"168",1988,5,354.178,0.53,1988-05-01
"169",1988,6,353.6475,0.32,1988-06-01
"170",1988,7,352.328,0.45,1988-07-01
"171",1988,8,350.1675,0.4,1988-08-01
"172",1988,9,348.8975,0.4,1988-09-01
"173",1988,10,349.232,0.29,1988-10-01
"174",1988,11,350.295,0.1,1988-11-01
"175",1988,12,351.4975,0.12,1988-12-01
"176",1989,1,352.922,-0.25,1989-01-01
"177",1989,2,353.37,-0.37,1989-02-01
"178",1989,3,354.02,-0.3,1989-03-01
"179",1989,4,355.662,0.06,1989-04-01
"180",1989,5,355.945,0.16,1989-05-01
"181",1989,6,355.2525,0.18,1989-06-01
"182",1989,7,353.84,0.29,1989-07-01
"183",1989,8,351.515,0.25,1989-08-01
"184",1989,9,349.95,0.35,1989-09-01
"185",1989,10,350.35,0.16,1989-10-01
"186",1989,11,351.7125,0.44,1989-11-01
"187",1989,12,352.984,0.11,1989-12-01
"188",1990,1,353.9175,0.49,1990-01-01
"189",1990,2,355.125,0.31,1990-02-01
"190",1990,3,355.745,0.29,1990-03-01
"191",1990,4,356.444,0.62,1990-04-01
"192",1990,5,357.365,0.41,1990-05-01
"193",1990,6,356.25,0.54,1990-06-01
"194",1990,7,354.73,0.29,1990-07-01
"195",1990,8,352.82,0.62,1990-08-01
"196",1990,9,351.26,0.58,1990-09-01
"197",1990,10,351.7425,0.7,1990-10-01
"198",1990,11,353.18,0.8,1990-11-01
"199",1990,12,354.388,0.58,1990-12-01
"200",1991,1,354.95,0.43,1991-01-01
"201",1991,2,355.7925,0.58,1991-02-01
"202",1991,3,357.526,0.39,1991-03-01
"203",1991,4,358.7675,0.57,1991-04-01
"204",1991,5,359.1475,0.47,1991-05-01
"205",1991,6,357.96,0.45,1991-06-01
